SA2_CODE21,LATITUDE,LONGITUDE
101021007,149.76807595708587,-35.50468218555413
101021008,149.2350606405903,-35.37510915691002
101021009,149.2246290105167,-35.3520491555253
101021010,149.25186274311415,-35.36035329584885
101021012,149.20222565840015,-35.37664881633013
101021610,149.23684842821763,-35.42679067105923
101021611,149.4245677022884,-35.42275818215356
101031013,148.9713350704531,-36.91113267584952
101031014,149.1111629418661,-36.24810714578726
101031015,149.16121932211271,-36.14597761398083
101031016,148.57127977112663,-36.47637245209958
101041017,150.1556169509855,-35.704662236408794
101041018,150.21115233129808,-35.78023173073194
101041019,149.90879482436208,-36.736389724996954
101041020,149.67263732201275,-36.87210618411602
101041021,150.1545126358589,-35.845716736132715
101041022,149.74026106980273,-36.181929233426736
101041023,149.89154546341905,-37.030662227863516
101041024,150.03059264736132,-35.850317725872486
101041025,149.86329178466633,-36.904763714286034
101041026,150.10577933245554,-35.95674023520574
101041027,150.06558018845348,-36.33086522861475
101051539,149.72699990317906,-34.744291593836415
101051540,149.61391855330797,-34.500824878956145
101061541,148.90830962095748,-34.82282562960924
101061542,148.88424668049856,-34.88732708130881
101061543,148.34228163372057,-34.32041755901773
101061544,148.79066897803412,-34.354780508448705
102011028,151.427229398193,-33.473123830846035
102011029,151.38972536142543,-33.51209983407396
102011030,151.17967609445515,-33.3404429607247
102011031,151.4017052746364,-33.42451633517093
102011032,151.3649379760339,-33.42954112335353
102011033,151.2948739105131,-33.43883282283089
102011034,151.39771930394056,-33.47039332493948
102011035,151.33108076600465,-33.39557137608671
102011036,151.3805275996364,-33.38669318451017
102011037,151.31164545228646,-33.45441885397131
102011038,151.35230433238792,-33.478053193693896
102011039,151.42825606837044,-33.44581997444323
102011040,151.28911421768146,-33.529339819655554
102011041,151.4582709161323,-33.40794684198846
102011042,151.29944728057745,-33.483781865111524
102011043,151.36488413657466,-33.40479083664731
102021044,151.47033747033558,-33.377673842905835
102021045,151.52483403018397,-33.2045608402328
102021046,151.54852472541495,-33.223171558197166
102021047,151.4291842859456,-33.352706325566935
102021048,151.50150432496912,-33.2567333414176
102021049,151.3094797900738,-33.1704870446046
102021050,151.5746965802265,-33.17585788647504
102021051,151.33268231513034,-33.31548532438219
102021052,151.5809860546642,-33.13155683987556
102021053,151.49279262036288,-33.35653835987843
102021054,151.55341841508312,-33.27158084501349
102021055,151.410958991259,-33.30496231996396
102021056,151.4511932684532,-33.245518375161794
102021057,151.43799201654775,-33.27955363626785
103011059,149.63380447585328,-33.41786665804134
103011060,149.7754058192957,-33.474694257693244
103011061,149.76947308427305,-33.862588218016334
103011612,149.55225726267645,-33.45835117193943
103011613,149.55462010724378,-33.376517289312815
103021062,147.1213006114631,-32.79534349820448
103021063,148.64584932662615,-33.78918960537055
103021064,148.8628417397864,-33.7346637459731
103021065,147.94548853215332,-33.4558814936797
103021066,148.02131401875477,-33.88760104496696
103021067,148.17739820604032,-33.18285557225239
103021068,147.97916918201886,-32.90829336696583
103021069,147.053286893986,-33.91794061421966
103031070,150.1334489338717,-33.48399172048681
103031071,149.98001317901455,-33.32007319305739
103031072,149.58832387188633,-32.60837366520231
103031073,150.06342936532005,-32.72429422428075
103031074,149.64702521942883,-32.4230521288403
103041076,149.159310370809,-33.64481561611149
103041077,149.11016035302413,-33.301191739625104
103041078,149.1295832843496,-33.249271644428205
103041079,148.9105444916416,-33.1458376679491
104011080,152.92461071752592,-29.679816480207002
104011081,152.79879131302823,-29.58227647911316
104011082,153.27665010305407,-29.462330619260584
104021083,152.70215833913142,-30.4290317376432
104021084,153.10456088742103,-30.28311061097918
104021085,153.09514008368228,-30.322541552406115
104021086,153.05174499122626,-30.219262961103844
104021087,152.6516522641582,-30.202144395853182
104021088,153.1474660268301,-30.20596863001908
104021089,153.02758186918112,-30.381292974573597
104021090,152.9897414799688,-30.494509454736097
104021091,153.1493545489801,-30.031117461848126
105011092,145.7675741428642,-29.996021234205557
105011093,145.29254746689287,-31.98580168259476
105011094,148.2931060899788,-31.017216421798416
105011095,147.07615777054826,-31.438090997909367
105011096,148.24451410779034,-29.828649072529515
105021097,141.47820513156415,-31.951232641349563
105021098,142.55517392462107,-31.183170736463182
105031099,149.41707991318634,-31.309169942857256
105031100,148.68035204134765,-32.252597579374964
105031101,148.62991020163403,-32.2675219547406
105031102,148.58333928788403,-32.23223808049419
105031103,148.61730097613798,-32.33496055934549
105031104,148.58893931623857,-31.63298811224027
105031105,147.95356524462335,-32.18313731868052
105031106,148.8735402439002,-32.65919361121421
106011107,151.33277322166362,-32.711379658952595
106011108,151.35960306651063,-32.82911716708748
106011109,151.17101485279665,-32.95853127456546
106011110,151.62624919615808,-32.347188244491235
106011111,151.46639787009923,-32.8030518234136
106011112,151.15143638987087,-32.58165330725207
106011113,150.93676590733537,-32.60545129548913
106021114,151.53614080442978,-32.76038983109863
106021116,151.57307025636936,-32.678386839406244
106021614,151.59161160082567,-32.76594574002062
106021615,151.46654312486203,-32.674093826732154
106021616,151.50449718192897,-32.72999617010613
106021617,151.6042314693916,-32.73861423302199
106021618,151.6754958251908,-32.76692984269317
106031119,152.03770392755894,-32.77768893024218
106031120,151.99033734744302,-32.75140039539468
106031121,152.12773513955665,-32.73249139937077
106031122,151.76118755788494,-32.7655398638685
106031123,151.71374525486348,-32.66991416512873
106031124,152.1144475558914,-32.633706908303125
106031125,151.8831921714116,-32.711329377469106
106041126,150.89995532405584,-32.31051027153156
106041127,150.5163971073648,-32.48803212401286
106041128,150.8679025272453,-32.058379263480724
106041129,150.64706801579533,-31.98123706470526
107011131,150.7628431518789,-34.515568450854246
