2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
60095,Cape Barren Island,662,1,792,1,616,1,764,1,64,TAS
60097,Cape Portland,898,1,890,1,935,2,911,2,10,TAS
60099,Carlton (Tas.),982,4,936,3,989,3,935,3,1363,TAS
60100,Carlton River,1001,5,953,4,1024,5,953,4,347,TAS
60101,Carrick (Tas.),1021,6,975,5,1029,6,935,3,721,TAS
60102,Castle Forbes Bay,974,3,950,3,971,3,951,4,176,TAS
60103,Castra,994,4,950,3,1017,5,993,6,41,TAS
60104,Caveside,985,4,958,4,1007,4,956,4,142,TAS
60107,Chain Of Lagoons,923,2,920,2,943,2,940,4,29,TAS
60108,Charlotte Cove,899,1,893,2,913,1,944,4,48,TAS
60109,Chasm Creek,867,1,855,1,915,1,837,1,53,TAS
60110,Chigwell,879,1,853,1,875,1,845,1,2050,TAS
60111,Christmas Hills (Tas.),954,3,933,3,983,3,950,4,127,TAS
60112,Chudleigh,980,4,943,3,1017,5,926,3,213,TAS
60113,Claremont (Tas.),924,2,894,2,916,1,885,2,8397,TAS
60114,Clarence Point,945,2,931,3,963,2,934,3,266,TAS
60115,Clarendon Vale,659,1,705,1,743,1,764,1,1635,TAS
60116,Claude Road,972,3,939,3,972,3,939,4,275,TAS
60117,Cleveland (Tas.),957,3,921,2,976,3,912,2,50,TAS
60118,Clifton Beach (Tas.),1101,10,1074,10,1096,9,1102,10,618,TAS
60119,Cluan,989,4,976,5,1046,7,995,6,36,TAS
60120,Colebrook,908,1,877,1,958,2,875,1,372,TAS
60121,Coles Bay,1026,6,994,6,987,3,974,5,515,TAS
60122,Collinsvale,1026,6,970,5,1033,6,943,4,631,TAS
60123,Conara,957,3,921,2,976,3,912,2,127,TAS
60124,Coningham,1084,10,1053,9,1059,8,1074,9,328,TAS
60125,Connellys Marsh,1003,5,958,4,1032,6,952,4,40,TAS
60126,Cooee,928,2,924,2,924,1,941,4,597,TAS
60127,Copping,1011,5,971,5,1015,5,973,5,200,TAS
60129,Cornwall (Tas.),897,1,870,1,933,2,917,3,82,TAS
60130,Couta Rocks,980,4,962,4,986,3,959,5,7,TAS
60131,Cowrie Point,986,4,963,4,991,4,997,6,16,TAS
60132,Crabtree,1029,6,1002,6,1050,7,1016,7,308,TAS
60133,Cradle Mountain,934,2,914,2,927,1,957,4,152,TAS
60134,Cradoc,1032,7,989,6,1034,6,972,5,456,TAS
60135,Cramps Bay,950,2,914,2,987,3,891,2,13,TAS
60136,Cranbrook (Tas.),987,4,978,5,975,3,989,6,60,TAS
60137,Crayfish Creek,942,2,904,2,954,2,887,2,68,TAS
60138,Cremorne (Tas.),1100,10,1065,9,1089,9,1066,9,602,TAS
60139,Cressy (Tas.),958,3,918,2,971,3,892,2,1149,TAS
60140,Cuckoo,963,3,926,2,1013,5,903,2,44,TAS
60141,Cuprona,1029,6,985,5,1024,5,953,4,140,TAS
60142,Currie,972,3,929,3,969,3,897,2,766,TAS
60143,Cygnet,934,2,920,2,936,2,963,5,1742,TAS
