SA2,Births
102011028,0.15337423312883436
102011029,0.15950920245398773
102011030,0.11247443762781185
102011031,0.24335378323108384
102011032,0.5132924335378323
102011033,0.15950920245398773
102011034,0.16359918200409
102011035,0.1656441717791411
102011036,0.16973415132924335
102011037,0.130879345603272
102011038,0.11247443762781185
102011039,0.294478527607362
102011040,0.5112474437627812
102011041,0.1983640081799591
102011042,0.3292433537832311
102011043,0.2965235173824131
102021044,0.558282208588957
102021045,0.38445807770961143
102021046,0.22085889570552147
102021047,0.4274028629856851
102021048,0.5807770961145194
102021049,0.05930470347648262
102021050,0.18609406952965235
102021051,0.1083844580777096
102021052,0.12269938650306748
102021053,0.36400817995910023
102021054,0.24335378323108384
102021055,0.130879345603272
102021056,0.50920245398773
102021057,0.20449897750511248
115011290,0.6114519427402862
115011291,0.35787321063394684
115011294,0.065439672801636
115011296,0.20449897750511248
115011553,0.1738241308793456
115011554,0.032719836400818
115011555,0.18200408997955012
115011556,0.19631901840490798
115011557,0.05521472392638037
115011558,0.2331288343558282
115011621,0.35173824130879344
115011622,0.20040899795501022
115021297,0.3803680981595092
115021298,0.09406952965235174
115031299,0.06134969325153374
115031300,0.5460122699386503
115041301,0.2883435582822086
115041623,0.1656441717791411
115041624,0.4376278118609407
115041625,0.32515337423312884
116011303,0.721881390593047
116011304,0.7116564417177914
116011306,0.721881390593047
116011307,0.6707566462167689
116011560,0.38445807770961143
116011561,0.50920245398773
116011626,0.37423312883435583
116011627,0.3824130879345603
116021309,0.2903885480572597
116021562,0.1165644171779141
116021563,0.7259713701431493
116021628,0.5644171779141104
116021629,0.34355828220858897
116021630,0.4396728016359918
116021631,0.3210633946830266
116021632,0.6973415132924335
116021633,0.2842535787321063
116031313,0.6993865030674846
116031314,0.26380368098159507
116031315,0.5807770961145194
116031316,0.9325153374233128
116031317,0.8752556237218814
116031318,0.0
116031319,0.6278118609406953
117011320,0.006134969325153374
117011321,0.4130879345603272
117011323,0.33537832310838445
117011324,0.0
117011325,0.0
117011634,0.2065439672801636
117011635,0.591002044989775
117021327,0.48261758691206547
117021328,0.2167689161554192
117021636,0.3006134969325153
117021637,0.36809815950920244
117031329,0.17586912065439672
117031330,0.5541922290388548
117031331,0.4887525562372188
117031333,0.30879345603271985
117031336,0.3169734151329243
117031638,0.15132924335378323
117031639,0.09406952965235174
117031640,0.278118609406953
117031641,0.32719836400818
117031642,0.310838445807771
117031643,0.3149284253578732
117031644,0.14519427402862986
117031645,0.34151329243353784
117031646,0.08793456032719836
117031647,0.4396728016359918
117031648,0.28629856850715746
118011339,0.5950920245398773
118011340,0.7689161554192229
118011341,0.4662576687116564
118011342,0.0
118011344,0.2740286298568507
118011345,0.38650306748466257
118011346,0.18404907975460122
118011347,0.19631901840490798
118011649,0.32515337423312884
118011650,0.21881390593047034
118021564,0.22699386503067484
118021565,0.25766871165644173
118021566,0.20040899795501022
118021567,0.34355828220858897
118021568,0.22085889570552147
118021569,0.5398773006134969
118021570,0.3537832310838446
118021651,0.6278118609406953
118021652,0.294478527607362
118021653,0.2965235173824131
118021654,0.11042944785276074
119011354,0.6728016359918201
119011355,0.07975460122699386
119011356,0.4069529652351738
119011358,0.3783231083844581
119011360,0.5460122699386503
119011361,0.6850715746421268
119011571,0.6605316973415133
119011572,0.5848670756646217
119011655,0.44171779141104295
119011656,0.4294478527607362
119011657,0.2719836400817996
119011658,0.31901840490797545
119021362,0.5950920245398773
119021366,0.7709611451942741
119021367,0.4396728016359918
119021573,0.7198364008179959
119021574,0.5214723926380368
119021659,0.30879345603271985
119021660,0.2719836400817996
119021661,0.36809815950920244
119021662,0.36400817995910023
119021663,0.16359918200409
119031370,0.3231083844580777
119031371,0.25971370143149286
119031372,0.4458077709611452
119031373,0.2985685071574642
119031374,0.50920245398773
119031664,0.294478527607362
119031665,0.2249488752556237
119031666,0.38650306748466257
119031667,0.25971370143149286
119041377,0.2556237218813906
119041378,0.4049079754601227
119041379,0.4376278118609407
119041380,0.38445807770961143
119041381,0.6032719836400818
119041382,0.4335378323108384
119041668,0.44785276073619634
119041669,0.2822085889570552
119041670,0.5153374233128835
119041671,0.3558282208588957
120011383,0.5316973415132924
120011385,0.4662576687116564
120011386,0.5930470347648262
120011672,0.2985685071574642
120011673,0.42535787321063395
120021387,0.43149284253578735
120021389,0.4233128834355828
120021674,0.22903885480572597
120021675,0.5276073619631901
120031392,0.24130879345603273
120031393,0.35787321063394684
120031394,0.44785276073619634
120031395,0.25153374233128833
120031396,0.621676891615542
120031576,0.08588957055214724
