SA2,Gumtree
101021611,0.0
101041017,0.012096774193548387
101041020,0.004032258064516129
101041021,0.0
101041025,0.0
101041026,0.0
101051539,0.04435483870967742
101061541,0.0
101061542,0.016129032258064516
101061543,0.012096774193548387
101061544,0.10483870967741936
102011029,0.06048387096774194
102011030,0.012096774193548387
102011031,1.0
102011032,0.08870967741935484
102011033,0.036290322580645164
102011034,0.024193548387096774
102011035,0.03225806451612903
102011036,0.016129032258064516
102011037,0.03225806451612903
102011038,0.016129032258064516
102011039,0.04435483870967742
102011040,0.08870967741935484
102011041,0.024193548387096774
102011042,0.024193548387096774
102021044,0.11693548387096774
102021045,0.020161290322580645
102021047,0.14112903225806453
102021048,0.07661290322580645
102021049,0.05241935483870968
102021050,0.06048387096774194
102021051,0.0
102021052,0.004032258064516129
102021053,0.028225806451612902
102021054,0.016129032258064516
102021055,0.004032258064516129
102021056,0.056451612903225805
102021057,0.012096774193548387
103011061,0.0
103011612,0.024193548387096774
103021063,0.008064516129032258
103021067,0.0
103031070,0.008064516129032258
103031071,0.004032258064516129
103031072,0.008064516129032258
103031074,0.0
104011080,0.07661290322580645
104011081,0.012096774193548387
104011082,0.004032258064516129
104021083,0.0
104021085,0.06854838709677419
104021088,0.012096774193548387
104021089,0.036290322580645164
104021091,0.008064516129032258
105011094,0.0
105021097,0.008064516129032258
105031100,0.036290322580645164
105031106,0.004032258064516129
106011107,0.008064516129032258
106011108,0.1814516129032258
106011109,0.016129032258064516
106011110,0.008064516129032258
106011111,0.016129032258064516
106011112,0.012096774193548387
106021114,0.016129032258064516
106021614,0.008064516129032258
106021617,0.056451612903225805
106021618,0.0
106031120,0.016129032258064516
106031121,0.012096774193548387
106031122,0.056451612903225805
106031123,0.004032258064516129
106031125,0.024193548387096774
106041126,0.036290322580645164
107011131,0.23790322580645162
107011132,0.04838709677419355
107011134,0.12096774193548387
107011546,0.06854838709677419
107011547,0.0
107031136,0.04435483870967742
107031137,0.008064516129032258
107031138,0.020161290322580645
107031140,0.028225806451612902
107031141,0.04435483870967742
107031142,0.016129032258064516
107031143,0.09274193548387097
107041144,0.04032258064516129
107041145,0.07258064516129033
107041146,0.08870967741935484
107041147,0.0
107041148,0.04032258064516129
107041150,0.12903225806451613
107041548,0.24596774193548387
107041549,0.024193548387096774
108011154,0.0
108021155,0.0
108021157,0.004032258064516129
108021160,0.004032258064516129
108041165,0.0
108041166,0.020161290322580645
108041620,0.07258064516129033
108051169,0.03225806451612903
108051170,0.004032258064516129
109011172,0.0
109011174,0.03225806451612903
109011175,0.0
109011176,0.0
110011186,0.03225806451612903
110011188,0.0
110021194,0.008064516129032258
110041201,0.0
110041202,0.020161290322580645
110041203,0.020161290322580645
110041205,0.008064516129032258
111011206,0.056451612903225805
111011207,0.028225806451612902
111011208,0.12903225806451613
111011210,0.03225806451612903
111011212,0.056451612903225805
111011213,0.46774193548387094
111011214,0.09274193548387097
111021215,0.012096774193548387
111021216,0.016129032258064516
111021217,0.10887096774193548
111021218,0.0846774193548387
111021219,0.008064516129032258
111021220,0.04032258064516129
111031222,0.04838709677419355
111031223,0.04435483870967742
111031224,0.004032258064516129
111031225,0.08064516129032258
111031227,0.024193548387096774
111031228,0.29838709677419356
111031229,0.08064516129032258
111031231,0.03225806451612903
111031232,0.04032258064516129
111031233,0.06854838709677419
111031234,0.05241935483870968
112011236,0.020161290322580645
112011237,0.004032258064516129
112011238,0.0
112011239,0.008064516129032258
112011240,0.012096774193548387
112011242,0.012096774193548387
112011243,0.004032258064516129
112021245,0.0
112021246,0.012096774193548387
112021247,0.008064516129032258
112021248,0.04838709677419355
112021249,0.008064516129032258
112031250,0.012096774193548387
112031251,0.03225806451612903
112031253,0.09274193548387097
112031254,0.08870967741935484
112031550,0.13709677419354838
112031551,0.016129032258064516
112031552,0.012096774193548387
113011256,0.020161290322580645
113011258,0.0
113021261,0.0
113031265,0.008064516129032258
113031267,0.004032258064516129
113031268,0.0
113031269,0.016129032258064516
113031270,0.09274193548387097
