SA2_CODE21,0
107011131,POINT (150.7628431518789 -34.515568450854246)
107011132,POINT (150.77162051001318 -34.47600917714237)
107011134,POINT (150.81432248980525 -34.439003784242956)
107011545,POINT (150.8490314110243 -34.48137728503983)
107011546,POINT (150.89535622279334 -34.48901579008155)
107011547,POINT (150.8760227353054 -34.51999793000009)
107031136,POINT (150.71377247046104 -34.577998287575184)
107031137,POINT (150.7906835332505 -34.561635286361245)
107031138,POINT (150.84512588312407 -34.681373188743976)
107031139,POINT (150.84515065796285 -34.63737974237427)
107031140,POINT (150.77357949829974 -34.69551077329464)
107031141,POINT (150.83904243828448 -34.6015761121286)
107031142,POINT (150.82347335160796 -34.565089510962274)
107031143,POINT (150.8541115452629 -34.556653995025925)
107041144,POINT (150.88334201831123 -34.39560129244548)
107041145,POINT (150.90027709922202 -34.36986418668143)
107041146,POINT (150.8535310425138 -34.42033637445556)
107041147,POINT (150.97227974387283 -34.179236297017525)
107041148,POINT (150.94765405675915 -34.28028629043149)
107041150,POINT (150.90593233225144 -34.338649293877786)
107041548,POINT (150.8998790863829 -34.42077231198952)
107041549,POINT (150.87770110563918 -34.42731042903612)
108011151,POINT (152.0638099387632 -32.34629290867963)
108011152,POINT (152.54377763202987 -32.2333483100308)
108011153,POINT (152.38038155074392 -32.260144922456746)
108011154,POINT (152.48494487397102 -32.15983696194523)
108021155,POINT (152.82290096952875 -31.08517116252225)
108021156,POINT (152.46155140008614 -30.905538959101545)
108021157,POINT (152.94655061952218 -30.713304967079242)
108021158,POINT (152.9906764543354 -30.640967963647874)
108021159,POINT (152.7441751471318 -30.723001436817214)
108021160,POINT (153.0475992528941 -30.916935973744497)
108031161,POINT (159.0856758032344 -31.55374270692962)
108041162,POINT (152.67753285219857 -31.61740736285492)
108041164,POINT (152.86341662511046 -31.440825934176548)
108041165,POINT (152.51050696414126 -31.391066504069066)
108041166,POINT (152.74124896004543 -31.47204845864857)
108041619,POINT (152.92462993090112 -31.45535768041257)
108041620,POINT (152.89599619423794 -31.485089875601286)
108051167,POINT (151.81954605714628 -31.887934524062118)
108051168,POINT (152.5259436042605 -31.973592929633107)
108051169,POINT (152.49358214716364 -31.909089925657213)
108051170,POINT (152.35433632434766 -31.804857368472206)
108051171,POINT (152.3708747273214 -31.862496914188558)
109011172,POINT (147.0048958854997 -36.062730384326294)
109011173,POINT (146.89694408752982 -36.03658014257563)
109011174,POINT (146.8637644914961 -36.064201466938044)
109011175,POINT (147.2188669911936 -35.758566984435674)
109011176,POINT (146.9449895878651 -36.02849446701525)
109021177,POINT (144.80372568495972 -33.94435876243652)
109021178,POINT (142.20158481588987 -34.150567268574875)
109021179,POINT (142.7875968560943 -33.92363411580604)
109031180,POINT (146.35785065743147 -35.99336808008148)
109031181,POINT (146.32022776173176 -35.603413314936425)
109031182,POINT (144.9732505248871 -35.528770843709566)
109031183,POINT (144.55753682900917 -35.3505736722486)
109031184,POINT (144.79232583075506 -36.044929719620036)
109031185,POINT (145.77590709467225 -35.427129104830115)
110011186,POINT (151.67125073603881 -30.50195683936942)
110011187,POINT (151.90710823296263 -30.405497826938834)
110011188,POINT (151.33149709133505 -30.562564589463115)
110011189,POINT (151.7490588257957 -31.19754327414041)
110021190,POINT (151.91729145061248 -29.631886772880236)
110021191,POINT (151.10835844939612 -29.765319417515762)
110021192,POINT (151.1601126372035 -29.464437225220934)
110021193,POINT (150.5954988779239 -29.650414149780758)
110021194,POINT (152.2807786385302 -28.838556902862564)
110031195,POINT (149.8419181991237 -29.460983335485835)
110031196,POINT (149.53187028501418 -29.321320617809093)
110031197,POINT (149.78941032985057 -30.3581976679317)
110031198,POINT (149.30823791588637 -30.3361447254554)
110041199,POINT (150.2263704286022 -30.979533531117404)
110041200,POINT (150.00382324572988 -31.000887886185616)
110041201,POINT (150.39427044594078 -31.470037541771973)
110041202,POINT (150.95809697455275 -31.14644277428605)
110041203,POINT (150.95850795193175 -31.094802334725514)
110041204,POINT (150.86921961533227 -31.08961312474251)
110041205,POINT (150.8839903412906 -30.929404152665576)
111011206,POINT (151.6708681866106 -33.01979136207365)
111011207,POINT (151.65161809648163 -33.063795856988406)
111011208,POINT (151.70529437014932 -32.98182585461164)
111011209,POINT (151.66004130813712 -32.948061350181675)
111011210,POINT (151.6737824409824 -32.99064986567802)
111011211,POINT (151.71414317578092 -33.00568992336454)
111011212,POINT (151.6309863934012 -33.123123856313704)
111011213,POINT (151.64810993996318 -33.00699289596551)
111011214,POINT (151.64090187349854 -32.96074583610681)
111021215,POINT (151.59841506007177 -32.967467152970016)
111021216,POINT (151.53569314437485 -33.10795424964496)
111021217,POINT (151.61790879247096 -32.9119344709631)
111021218,POINT (151.4434485129985 -33.07612881925336)
111021219,POINT (151.5594920061567 -33.01700084784557)
111021220,POINT (151.5742732986373 -33.057088817424145)
111021221,POINT (151.55311570297238 -32.9327456925757)
111031222,POINT (151.7132707354049 -32.94222385785106)
111031223,POINT (151.65503915012698 -32.828253384849816)
111031224,POINT (151.73989022516756 -32.92302428863581)
111031225,POINT (151.7061451100741 -32.926044612134916)
111031226,POINT (151.63935701645056 -32.8752438589594)
111031227,POINT (151.72837951189214 -32.891004723919096)
111031228,POINT (151.74190023213464 -32.94760807216983)
111031229,POINT (151.7725453853128 -32.929953424908874)
111031231,POINT (151.69202783687595 -32.88095185382865)
111031232,POINT (151.8074635165368 -32.870172221332226)
111031233,POINT (151.6634911621243 -32.90516140551816)
111031234,POINT (151.71645613984717 -32.904445356252666)
111031235,POINT (151.75188732184242 -32.91443537707495)
112011236,POINT (153.55992834981794 -28.83585627654417)
112011237,POINT (153.44369956294517 -28.85275649177946)
112011238,POINT (153.51230558805145 -28.679161494905305)
112011239,POINT (153.54329592595855 -28.544117490944252)
112011240,POINT (153.60822564531188 -28.680192519578128)
112011241,POINT (153.3068394470396 -29.12719139138826)
112011242,POINT (153.579660897807 -28.78852987155689)
112011243,POINT (153.43363161678286 -28.554638990205348)
112021244,POINT (153.032419286412 -28.843306976438505)
112021245,POINT (152.8001095155716 -28.905263159005948)
112021246,POINT (153.33013364711087 -28.82926248141073)
112021247,POINT (152.93760823334827 -28.51192539269937)
112021248,POINT (153.27071531820212 -28.81912860682803)
112021249,POINT (153.2030851045493 -28.793082995894256)
112031250,POINT (153.54851953010024 -28.243845506365133)
112031251,POINT (153.39613623032471 -28.33047749045398)
112031252,POINT (153.27830622274496 -28.388087075475404)
112031253,POINT (153.5353408587294 -28.377580007678034)
112031254,POINT (153.44558509715716 -28.219583533607498)
112031550,POINT (153.53607571556995 -28.225633023942923)
112031551,POINT (153.49048154080913 -28.24788400290278)
112031552,POINT (153.53719738696822 -28.198755509813598)
113011256,POINT (146.04375074797798 -34.277031885741074)
113011257,POINT (145.78859792192517 -33.86480944526858)
113011258,POINT (146.40565743558443 -34.52846341866885)
113011259,POINT (146.64980477150232 -34.6741982108919)
113021260,POINT (148.23227333179358 -36.17337427212644)
113021261,POINT (148.23569234512289 -35.32241107051644)
113021262,POINT (148.3426095364765 -35.541090537209016)
113031263,POINT (148.02065564300005 -34.60277593442876)
113031264,POINT (148.21134495153717 -35.02758581830591)
113031265,POINT (147.67266758662106 -34.815134204017475)
113031266,POINT (147.30345294439934 -34.38302966308589)
113031267,POINT (147.40331676623794 -35.146827050857695)
113031268,POINT (147.39844243055347 -35.07784062388714)
113031269,POINT (147.33357088908116 -35.15387829163271)
113031270,POINT (147.30834639880746 -35.12908686850682)
113031271,POINT (147.11328518840213 -35.04315363969343)
114011272,POINT (150.584465417758 -34.757842775703224)
114011273,POINT (150.6892147299269 -35.00763678020631)
114011274,POINT (150.7201712917713 -34.90071927832442)
114011275,POINT (150.2891179435653 -35.14256268812922)
114011276,POINT (150.6666303706755 -35.070701782897146)
114011277,POINT (150.58147372811018 -34.83184777325751)
114011278,POINT (150.60480544640723 -34.906727968325434)
114011279,POINT (150.60854797158947 -35.09987476895466)
114011280,POINT (150.57471062301119 -35.1565296001251)
114011281,POINT (150.53454785756105 -35.010473769886005)
114011282,POINT (150.45177033343538 -35.34945406244712)
114011283,POINT (150.36812127705502 -35.34403175457365)
114021284,POINT (150.42830310228953 -34.4913152393013)
114021285,POINT (150.47780817625502 -34.353315722978934)
114021286,POINT (150.48169545984024 -34.464386768722065)
114021287,POINT (150.34551385636018 -34.523321243296046)
114021288,POINT (150.57989975795016 -34.61290376408545)
114021289,POINT (150.1900756418799 -34.48489973303472)
115011290,POINT (150.9936204144338 -33.75691863607094)
115011291,POINT (150.96542553981482 -33.742650234921925)
115011294,POINT (150.99797209857928 -33.70275179104543)
115011296,POINT (151.0322631541658 -33.747794439533315)
115011553,POINT (150.98889226206973 -33.73471687910411)
115011554,POINT (151.02506773534878 -33.72131538368515)
115011555,POINT (151.00041044634372 -33.71844831967674)
115011556,POINT (151.0097689829735 -33.74292989241982)
115011557,POINT (150.97360046350332 -33.71876279314047)
115011558,POINT (151.04449907461344 -33.72175539549268)
115011621,POINT (150.96296227181512 -33.7060527947027)
115011622,POINT (150.94989385985207 -33.718523936711186)
115021297,POINT (150.96588424074025 -33.54237930402403)
115021298,POINT (151.0930734192286 -33.5368027986987)
115031299,POINT (150.82377458176214 -33.28036347164412)
115031300,POINT (150.76089761916884 -33.52627823892651)
115041301,POINT (150.88832376241953 -33.606210294742375)
115041623,POINT (150.9099272585594 -33.64334585501041)
115041624,POINT (150.94603241495645 -33.68045261109049)
115041625,POINT (150.92396645575457 -33.683385793357864)
116011303,POINT (150.91253846264476 -33.7586432692824)
116011304,POINT (150.89304656850518 -33.750460405921515)
116011306,POINT (150.87270435711696 -33.766834283833475)
116011307,POINT (150.93958348971557 -33.76037836924945)
116011560,POINT (150.90912911517702 -33.788619833440904)
116011561,POINT (150.89192469317308 -33.77855332178545)
116011626,POINT (150.90961892449334 -33.79208003391894)
116011627,POINT (150.93299545371295 -33.79393259629281)
116021309,POINT (150.93182593757638 -33.73713379140984)
116021562,POINT (150.9139982933075 -33.73420794905604)
116021563,POINT (150.89600499525693 -33.722445681224684)
116021628,POINT (150.91257538567308 -33.70640558318175)
116021629,POINT (150.80729450636323 -33.70138814026482)
116021630,POINT (150.85481261838544 -33.679909402751534)
116021631,POINT (150.86400635168644 -33.71344238493218)
116021632,POINT (150.8877371535906 -33.69403986085487)
116021633,POINT (150.92684727207984 -33.7174857986983)
116031313,POINT (150.81586673420753 -33.74095702341988)
116031314,POINT (150.85583045697126 -33.745258779077105)
116031315,POINT (150.8377621429127 -33.74309230569666)
116031316,POINT (150.79041861711752 -33.73361430677244)
116031317,POINT (150.81414863530364 -33.76507712796443)
116031319,POINT (150.84562765073156 -33.77952631383356)
117011320,POINT (151.2148948263668 -33.95676084717922)
117011321,POINT (151.2000175959273 -33.95083970074486)
117011323,POINT (151.2169756786352 -33.941439544099666)
117011634,POINT (151.21434688486713 -33.93078668192416)
117011635,POINT (151.1948041790369 -33.92943061491942)
117021327,POINT (151.16160617082613 -33.89621048368967)
117021328,POINT (151.16854031810203 -33.92046382341762)
117021636,POINT (151.16016464804443 -33.906737136234725)
117021637,POINT (151.1515791903044 -33.91670872572911)
117031329,POINT (151.21899295672574 -33.87939039282649)
117031330,POINT (151.1920458201927 -33.90809242052555)
117031331,POINT (151.18593630798915 -33.87888389384388)
117031333,POINT (151.22557331324782 -33.867358823630724)
117031336,POINT (151.21273829074747 -33.88432855729859)
117031638,POINT (151.18531325992876 -33.889802964759795)
117031639,POINT (151.2001419145504 -33.886206316703856)
117031640,POINT (151.17808383564778 -33.899898204169276)
117031641,POINT (151.19266037599908 -33.869268534818325)
117031642,POINT (151.2025876178209 -33.89422690512413)
117031643,POINT (151.20614457832534 -33.91626765189727)
117031644,POINT (151.21081874339853 -33.865185817886)
117031645,POINT (151.2056807787858 -33.87712295158721)
117031646,POINT (151.19779485056804 -33.87939481113742)
117031647,POINT (151.2078475005006 -33.90026463126064)
117031648,POINT (151.20812412107327 -33.907676007516656)
118011339,POINT (151.2655951254065 -33.89955631824254)
118011340,POINT (151.27565159950115 -33.88745131417308)
118011341,POINT (151.2509691306065 -33.89835632676894)
118011344,POINT (151.28002561195686 -33.87019432384849)
118011345,POINT (151.22490552427703 -33.89086118773206)
118011346,POINT (151.2746629980969 -33.85892582235878)
118011347,POINT (151.24166397178558 -33.88573621553803)
118011649,POINT (151.25329314053877 -33.87647797530262)
118011650,POINT (151.2376812731117 -33.87640703381851)
118021564,POINT (151.2191117115583 -33.91280989808368)
118021565,POINT (151.23390027520523 -33.92607246006186)
118021566,POINT (151.2506924580225 -33.939140827316734)
118021567,POINT (151.249331109048 -33.94956464042653)
118021568,POINT (151.23357229020542 -33.94381438026063)
118021569,POINT (151.244549869154 -33.908550030428415)
118021570,POINT (151.2421133409481 -33.919304290279385)
118021651,POINT (151.25578406103696 -33.9175924865463)
118021652,POINT (151.25064841945294 -33.976813436363805)
118021653,POINT (151.23720252185984 -33.964816970137264)
118021654,POINT (151.25521928526882 -33.93219582159294)
119011354,POINT (150.99025909982686 -33.89946948170905)
119011355,POINT (151.04013238233964 -33.8943833962914)
119011356,POINT (150.99980898300032 -33.92831007779064)
119011358,POINT (151.03146633756006 -33.95866782094302)
119011360,POINT (151.01574932129523 -33.954246634017494)
119011361,POINT (151.02214047082123 -33.90125830467592)
119011571,POINT (151.0287083083636 -33.913250136949586)
119011572,POINT (151.02957388441342 -33.929078621399256)
119011655,POINT (151.05959030666725 -33.896326283127394)
119011656,POINT (151.05758850327078 -33.911340348038934)
119011657,POINT (150.98842143724733 -33.94670191851152)
119011658,POINT (151.0033070623577 -33.96842433838863)
119021362,POINT (151.0876088017018 -33.91384298653884)
119021366,POINT (151.05153143481942 -33.93016519260405)
119021367,POINT (151.0746145083109 -33.93425981599019)
119021573,POINT (151.0756164241045 -33.91825830475731)
119021574,POINT (151.066863429168 -33.92339479840421)
119021659,POINT (151.1043186324739 -33.90800179825324)
119021660,POINT (151.10403071927095 -33.915210107374705)
119021661,POINT (151.10965066005969 -33.919069873604855)
119021662,POINT (151.13170781957095 -33.924728957205645)
119021663,POINT (151.0963983892869 -33.93678271794016)
119031370,POINT (151.0773403807026 -33.94918281140886)
119031371,POINT (151.0878436981343 -33.97988331214894)
119031372,POINT (151.05138122238498 -33.971809307241315)
119031373,POINT (151.0536705350361 -33.9491965220146)
119031374,POINT (151.10763455786196 -33.98306830820223)
119031664,POINT (151.1079050049632 -33.96449898209297)
119031665,POINT (151.0978523476839 -33.95710505709367)
119031666,POINT (151.06766018048705 -33.97462553941112)
119031667,POINT (151.08079595760734 -33.96031986553042)
119041377,POINT (151.11122211201524 -33.94091747215594)
119041378,POINT (151.13612035731092 -33.9682453549367)
119041379,POINT (151.12513403755264 -33.97774280976314)
119041380,POINT (151.15221259002038 -33.96236225178126)
119041381,POINT (151.1414971318158 -33.95328581198789)
119041382,POINT (151.13798469791715 -33.99212481607121)
119041668,POINT (151.13653325059266 -33.93690606554901)
119041669,POINT (151.11420399656828 -33.951074769596815)
119041670,POINT (151.12555624224808 -33.9592617989359)
119041671,POINT (151.15294519819827 -33.93166026204281)
120011383,POINT (151.10571202258964 -33.85203079835712)
120011385,POINT (151.15106582260324 -33.855449234973264)
120011386,POINT (151.1315301475841 -33.85895246953774)
120011672,POINT (151.08769626053535 -33.84883130042785)
120011673,POINT (151.08650203806485 -33.83000932545618)
120021387,POINT (151.17780412310415 -33.85506481476794)
120021389,POINT (151.16646777179182 -33.86620183160764)
120021674,POINT (151.17169833904734 -33.87979200342731)
120021675,POINT (151.15596408334335 -33.881446752966035)
120031392,POINT (151.11702292915245 -33.90583131301396)
120031393,POINT (151.10351119273122 -33.89458219095502)
120031394,POINT (151.14015949615225 -33.901662245652176)
120031395,POINT (151.140795162858 -33.885234495572064)
120031396,POINT (151.07287780766293 -33.860759802951776)
120031576,POINT (151.07432246251142 -33.896586940486245)
120031676,POINT (151.12664930162128 -33.88183316983438)
120031677,POINT (151.1287355156354 -33.89617035487909)
120031678,POINT (151.10198309209778 -33.878297006925834)
120031679,POINT (151.11450203285034 -33.87882930381016)
120031680,POINT (151.09134055562842 -33.87912576094227)
120031681,POINT (151.07503689484406 -33.8791001554266)
121011399,POINT (151.16170899499934 -33.80080386694066)
121011401,POINT (151.1956975812081 -33.819304840278676)
121011682,POINT (151.1860658800286 -33.807592308628685)
121011683,POINT (151.22022904583224 -33.79838431835287)
121011684,POINT (151.18754992404428 -33.793728353544736)
121011685,POINT (151.18650928997084 -33.82998730748261)
121011686,POINT (151.16176444536876 -33.8162453104901)
121011687,POINT (151.2026666434418 -33.80157671577101)
121021403,POINT (151.124400529683 -33.656588792453505)
121021404,POINT (151.1910872998707 -33.579303363251924)
121021406,POINT (151.07518532351963 -33.71644429830053)
121021577,POINT (151.10198573254212 -33.704576680706495)
121021578,POINT (151.0904067468001 -33.697783804586)
121021579,POINT (151.10894094362635 -33.71066375638698)
121031407,POINT (151.16256175271099 -33.762971313730475)
121031408,POINT (151.18167895053256 -33.77645193861636)
121031409,POINT (151.13082521574984 -33.752617273729676)
121031410,POINT (151.1691659900299 -33.719985815322744)
121031411,POINT (151.14969127137414 -33.71107730519124)
121031412,POINT (151.1281218981489 -33.715166678213606)
121041413,POINT (151.2261051756127 -33.83260403848467)
121041414,POINT (151.19707229575755 -33.83393634474909)
121041416,POINT (151.21787794863997 -33.84014851308572)
121041417,POINT (151.2062726867693 -33.83962125134486)
121041688,POINT (151.2428424332458 -33.81826666870724)
121041689,POINT (151.24481090748486 -33.83856731996555)
122011418,POINT (151.25264446848098 -33.79792731674699)
122011419,POINT (151.2934958620619 -33.80338132509489)
122021420,POINT (151.32888609977314 -33.61051634123655)
122021421,POINT (151.25893543755825 -33.64216381195029)
122021422,POINT (151.31367772952683 -33.653316329186126)
122021690,POINT (151.29792852588338 -33.67683432547307)
122021691,POINT (151.2978876080262 -33.69858333011632)
122031424,POINT (151.2639964251245 -33.75192525975599)
122031425,POINT (151.2662287200783 -33.73184763724784)
122031427,POINT (151.21612855895535 -33.766795320121126)
122031429,POINT (151.28072052860665 -33.770464762768086)
122031430,POINT (151.25135005679772 -33.77346051148619)
122031432,POINT (151.21120866680087 -33.667026319636435)
122031692,POINT (151.20952840697322 -33.72138592083397)
122031693,POINT (151.29675344395952 -33.73513432492922)
122031694,POINT (151.29115540932347 -33.760520329763764)
122031695,POINT (151.28764073746612 -33.75074224848679)
122031696,POINT (151.2411828511091 -33.740398871436895)
122031697,POINT (151.28376631547587 -33.71853233225602)
123011433,POINT (150.67973231776116 -34.060523971303816)
123011698,POINT (150.7657791776075 -34.04206027063114)
123011699,POINT (150.72177381653844 -34.04247527081162)
123011700,POINT (150.7414759745264 -34.02607288833168)
123011701,POINT (150.76351331928706 -34.06280392889286)
123011702,POINT (150.72583395577573 -34.06947477550335)
123021436,POINT (150.82798685433673 -34.121983286004394)
123021437,POINT (150.80912023469938 -34.05742270610128)
123021438,POINT (150.80688360052557 -34.02482889728626)
123021441,POINT (150.85766536426587 -34.05263028826454)
123021443,POINT (150.84363609675273 -34.03104190231781)
123021444,POINT (150.7786656492674 -34.12355400378799)
123021703,POINT (150.83635904717875 -33.98169163811292)
123021704,POINT (150.89302643346358 -33.97106555148375)
123021705,POINT (150.86184719832164 -33.99985397555916)
123021706,POINT (150.89634603892358 -33.99926818020748)
123031445,POINT (150.59425393261245 -34.27907376884414)
123031446,POINT (150.74125404281608 -34.178517995562174)
123031447,POINT (150.54960124726387 -34.201940753442116)
123031448,POINT (150.54326065755697 -34.04524824587911)
124011449,POINT (150.27038405083744 -33.64607132718379)
124011450,POINT (150.6168917055927 -33.747052911371256)
124011452,POINT (150.31077715424925 -33.701646742283685)
124011453,POINT (150.44986666821637 -33.72375542615295)
124011454,POINT (150.59303305751502 -33.691872093839606)
124011455,POINT (150.38866542012735 -33.72911323976727)
124031457,POINT (150.73453710330494 -33.744840773897195)
124031459,POINT (150.66094321568394 -33.748012420397195)
124031460,POINT (150.6793306359805 -33.78453096556809)
124031461,POINT (150.69035811057088 -33.772035265168896)
124031462,POINT (150.73858918818632 -33.765127775251784)
124031463,POINT (150.67974835474615 -33.83649827587544)
124031464,POINT (150.6983838203186 -33.74682357880893)
124031465,POINT (150.60428130663456 -33.91086376637918)
124031707,POINT (150.69045026372913 -33.68758879766271)
124031708,POINT (150.74505293594228 -33.712218929907564)
124041466,POINT (150.75763425436486 -33.58595827922635)
124041467,POINT (150.80333959171685 -33.637996784561345)
124041468,POINT (150.74840146759323 -33.652412696052146)
124051469,POINT (150.80092468906412 -33.809092479823526)
124051470,POINT (150.78649828897403 -33.7979318188617)
124051580,POINT (150.7947322364373 -33.77782635873908)
124051581,POINT (150.7796280984387 -33.759494780009746)
125011582,POINT (151.0260211422978 -33.85054579891131)
125011583,POINT (151.035540255498 -33.84475865053115)
125011584,POINT (151.0195201596131 -33.87060229859232)
125011585,POINT (151.0335787888298 -33.8747864363029)
