2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
70177,Marrakai,912,2,918,2,981,3,932,3,564,NT
70178,Marrara,1047,7,1041,8,1014,5,1019,8,1323,NT
70179,Mataranka,867,1,897,2,827,1,953,4,384,NT
70180,McArthur,808,1,826,1,812,1,831,1,392,NT
70181,McMinns Lagoon,1046,7,1035,8,1090,9,993,6,687,NT
70182,Mereenie,599,1,763,1,586,1,841,1,4,NT
70184,Middle Point,1005,5,1016,7,1019,5,1031,8,55,NT
70185,Milikapiti,541,1,700,1,520,1,828,1,414,NT
70186,Milingimbi,398,1,638,1,443,1,845,1,1097,NT
70187,Millner,985,4,983,5,933,2,1009,7,2576,NT
70188,Milyakburra,595,1,718,1,639,1,908,2,106,NT
70189,Miniyeri,268,1,557,1,420,1,838,1,650,NT
70190,Minjilang,504,1,718,1,476,1,853,1,265,NT
70192,Moil,990,4,988,6,992,4,987,6,2000,NT
70193,Moulden,863,1,866,1,872,1,877,1,3053,NT
70194,Mount Bundey,941,2,943,3,933,2,936,3,16,NT
70195,Mount Johns,1120,10,1117,10,990,4,1114,10,541,NT
70196,Mount Liebig,510,1,675,1,593,1,795,1,240,NT
70197,Mount Zeil,599,1,763,1,586,1,841,1,69,NT
70198,Muirhead,1109,10,1127,10,1111,10,1102,10,3689,NT
70200,Mutitjulu,672,1,814,1,675,1,941,4,296,NT
70201,Nakara,1033,7,1033,8,1016,5,1028,8,1906,NT
70202,Namatjira,599,1,763,1,586,1,841,1,164,NT
70203,Nauiyu,623,1,742,1,573,1,873,1,350,NT
70204,Nemarluk,418,1,692,1,476,1,922,3,305,NT
70205,Newcastle Waters,861,1,860,1,863,1,820,1,122,NT
70206,Nganmarriyanga,344,1,574,1,427,1,731,1,364,NT
70207,Ngukurr,421,1,652,1,468,1,857,1,1088,NT
70208,Nhulunbuy,1083,10,1042,9,979,3,1007,7,3350,NT
70209,Nicholson (NT),912,2,893,2,933,2,859,1,57,NT
70210,Nightcliff,1053,8,1067,9,972,3,1089,10,3884,NT
70211,Nitmiluk,734,1,812,1,712,1,873,1,212,NT
70212,Noonamah,1023,6,992,6,1068,8,931,3,328,NT
70213,Numbulwar,501,1,708,1,503,1,864,1,681,NT
70215,Nyirripi,639,1,755,1,656,1,883,1,251,NT
70216,Palmerston City,1004,5,970,5,855,1,989,6,194,NT
70217,Pamayu,861,1,860,1,863,1,820,1,40,NT
70218,Papunya,504,1,712,1,493,1,911,2,438,NT
70219,Parap,1044,7,1069,9,961,2,1080,10,2819,NT
70220,Pellew Islands,808,1,826,1,812,1,831,1,3,NT
70221,Peppimenarti,514,1,713,1,519,1,950,4,190,NT
70222,Petermann,749,1,827,1,752,1,932,3,138,NT
70223,Pigeon Hole,282,1,559,1,299,1,710,1,121,NT
70224,Pine Creek (NT),793,1,847,1,766,1,910,2,318,NT
70225,Pinelands (NT),-,-,-,-,-,-,937,3,19,NT
70226,Pirlangimpi,581,1,730,1,498,1,866,1,317,#N/A
70227,Point Stuart,941,2,943,3,933,2,936,3,35,NT
70228,Rakula,868,1,864,1,903,1,878,1,59,NT
70229,Ramingining,415,1,667,1,524,1,912,2,814,NT
70230,Ranken,912,2,893,2,933,2,859,1,51,NT
70231,Rapid Creek,1048,8,1065,9,974,3,1104,10,3261,NT
70232,Robin Falls,941,2,943,3,933,2,936,3,46,NT
70233,Robinson River,429,1,657,1,471,1,822,1,180,NT
70234,Rosebery (NT),1064,9,1045,9,1033,6,999,6,4127,NT
70235,Ross (NT),992,4,988,6,982,3,967,5,806,NT
70236,Rum Jungle,979,4,952,4,994,4,931,3,88,NT
70237,Sadadeen,906,1,930,3,863,1,963,5,2307,NT
70238,Sandover,374,1,633,1,573,1,794,1,569,NT
70239,Santa Teresa,575,1,739,1,511,1,909,2,609,NT
