SA2,Population
102011028,0.2945433209466067
102011029,0.4323097985527088
102011030,0.18572266770975943
102011031,0.5790338353217289
102011032,0.83496968511637
102011033,0.25495795032270685
102011034,0.2983766868765891
102011035,0.28128300410717777
102011036,0.32219831801290827
102011037,0.257187561118717
102011038,0.28081361236064933
102011039,0.5824369254840602
102011040,0.9721494230393115
102011041,0.4181889301779777
102011042,0.563348327791903
102011043,0.4481517699980442
102021044,0.8991198904752592
102021045,0.44549188343438295
102021046,0.3828672012517113
102021047,0.6286720125171132
102021048,0.8834343829454332
102021049,0.13408957559162918
102021050,0.4305495795032271
102021051,0.1932720516330921
102021052,0.25495795032270685
102021053,0.623274007432036
102021054,0.3899080774496382
102021055,0.2057500488949736
102021056,0.7905339331116761
102021057,0.35959319381967536
115011290,0.9721494230393115
115011291,0.8524154116956777
115011294,0.24909055349110112
115011296,0.49669469978486214
115011553,0.3006062976725993
115011554,0.221904948171328
115011555,0.4777625660082144
115011556,0.408214355564248
115011557,0.20332485820457658
115011558,0.7484842558185019
115011621,0.6942303931155878
115011622,0.4465871308429493
115021297,0.8834734989243106
115021298,0.2127126931351457
115031299,0.111637003716018
115031300,0.8721298650498729
115041301,0.4478779581459026
115041623,0.4040680618032466
115041624,0.6839820066497164
115041625,0.6887932720516331
116011303,0.6720907490709955
116011304,0.8113045178955604
116011306,0.9232544494425973
116011307,1.0
116011560,0.49610796010170155
116011561,0.6742812438881283
116011626,0.5837277527870135
116011627,0.45464502249168787
116021309,0.6207705847838842
116021562,0.14398591824760415
116021563,0.9728143946802269
116021628,0.8293369841580286
116021629,0.6116174457265793
116021630,0.5439076862898494
116021631,0.39323293565421474
116021632,0.9901818893017797
116021633,0.5124584392724428
116031313,0.7329552122041854
116031314,0.3291609622530804
116031315,0.8437707803637786
116031316,0.8553491101114805
116031317,0.9065128104830823
116031318,0.0006258556620379425
116031319,0.8991198904752592
117011320,0.019831801290827303
117011321,0.5098767846665363
117011323,0.5800508507725406
117011324,0.00035204380989634266
117011325,0.0008996675141795423
117011634,0.3507529825933894
117011635,0.8534715431253667
117021327,0.784940348132212
117021328,0.32603168394289067
117021636,0.4837081947975748
117021637,0.5606884412282417
117031329,0.42151378838255427
117031330,0.7575982788969294
117031331,0.8016037551339722
117031333,0.7214159984353609
117031336,0.6279288089184432
117031638,0.3302170936827694
117031639,0.3112067279483669
117031640,0.5825542734206923
117031641,0.5021318208488167
117031642,0.5429689027967924
117031643,0.48535106591042443
117031644,0.32071191081556816
117031645,0.7958537062389986
117031646,0.2956385683551731
117031647,0.6508507725405829
117031648,0.5024838646587131
118011339,0.754821044396636
118011340,0.8230393115587717
118011341,0.6988460786231175
118011342,0.0
118011344,0.4374731077645218
118011345,0.583884216702523
118011346,0.4704478779581459
118011347,0.2928222178760023
118011649,0.5678075493839233
118011650,0.39295912380207315
118021564,0.4684138470565226
118021565,0.5388226090357912
118021566,0.3847838842167025
118021567,0.4351261490318795
118021568,0.387678466653628
118021569,0.6373166438490123
118021570,0.5021318208488167
118021651,0.7713671034617642
118021652,0.41795423430471346
118021653,0.5268531194993155
118021654,0.22061412086837473
119011354,0.9374535497750831
119011355,0.05789164873850968
119011356,0.5004889497359671
119011358,0.6733424603950714
119011360,0.6927439859182476
119011361,0.8832388030510464
119011571,0.6669274398591825
119011572,0.723645609231371
119011655,0.5749266575396049
119011656,0.5258752200273812
119011657,0.4447095638568355
119011658,0.626325053784471
119021362,0.7981615489927636
119021366,0.8483864658713084
119021367,0.5705065519264619
119021573,0.6738900840993546
119021574,0.39925679640132994
119021659,0.46665362800704085
119021660,0.3562292196362214
119021661,0.4798748288675924
119021662,0.7036182280461568
119021663,0.24510072364560923
119031370,0.5404654801486407
119031371,0.49227459417171915
119031372,0.792528848034422
119031373,0.45523176217484845
119031374,0.9935067475063564
119031664,0.474985331507921
119031665,0.47420301193037356
119031666,0.5755916291805202
119031667,0.37379229415216114
119041377,0.5081556815959319
119041378,0.5130842949344807
119041379,0.6351261490318795
119041380,0.5440641502053589
119041381,0.7818501858008997
119041382,0.6520242519069039
119041668,0.6513201642871113
119041669,0.39745746137297083
119041670,0.6209270486993937
119041671,0.42483864658713083
120011383,0.9076471738705261
120011385,0.7199687072168981
120011386,0.8213964404459222
120011672,0.5056522589477802
120011673,0.45487971836495206
120021387,0.6113436338744377
120021389,0.5424995110502641
120021674,0.3722276549970663
120021675,0.6896147076080579
120031392,0.4713084294934481
120031393,0.6829258752200273
120031394,0.7060043027576766
120031395,0.5301388617250147
120031396,0.8223352239389791
120031576,0.14269509094465088
120031676,0.45014668492079013
120031677,0.48010952474085666
120031678,0.6277332290240564
120031679,0.43015841971445334
120031680,0.64866027772345
120031681,0.3634656757285351
121011399,0.8380598474476824
121011401,0.46884412282417365
121011682,0.37038920398982983
121011683,0.5268140035204381
121011684,0.7733229024056327
121011685,0.5077254058282809
121011686,0.6231566594954039
121011687,0.5094465088988852
121021403,0.8657930764717388
121021404,0.461294738900841
121021406,0.7509876784666536
121021577,0.46931351457070214
121021578,0.4167025229806376
121021579,0.46504987287306865
121031407,0.8837081947975748
121031408,0.9682769411304518
121031409,0.6752200273811853
121031410,0.8516722080970076
121031411,0.7948758067670644
121031412,0.713631918638764
121041413,0.7427733229024056
121041414,0.7054957950322707
121041416,0.6783101897124976
121041417,0.49200078231957756
121041688,0.5405828280852728
121041689,0.5726970467435948
122011418,0.8156855075298259
122011419,0.8890279679248974
122021420,0.5115587717582633
122021421,0.44032857422256994
122021422,0.5358497946411109
122021690,0.5721494230393116
122021691,0.42620770584783885
122031424,0.5690983766868766
122031425,0.31496186192059455
122031427,0.5147271660473304
122031429,0.8609035791120673
122031430,0.6890670839037747
122031432,0.1485624877762566
