Location,Score
101021007,0.06180413542376729
101021008,0.21267893660531698
101021009,0.321745057941377
101021010,0.14542149511474664
101021012,0.0
101021610,0.0
101021611,0.0
101031013,0.021813224267211953
101031014,0.12951601908657118
101031015,0.049079754601226995
101031016,0.049079754601226974
101041017,0.03181095205635082
101041018,0.08861622358554873
101041019,0.10497614178595772
101041020,0.1077027948193592
101041021,0.028629856850715733
101041022,0.0
101041023,0.01272438082254031
101041024,0.05635082935696426
101041025,0.16541695069302426
101041026,0.11270165871392862
101041027,0.09543285616905246
101051539,0.2744830720290843
101051540,0.2199500113610543
101061541,0.13633265167007494
101061542,0.0
101061543,0.06771188366280391
101061544,0.06725744149057031
102011028,0.034083162917518735
102011029,0.07089297886843897
102011030,0.09997727789138826
102011031,0.1622358554873892
102011032,0.3421949556918882
102011033,0.10633946830265846
102011034,0.14542149511474664
102011035,0.14723926380368096
102011036,0.1131561008861622
102011037,0.08725289706884799
102011038,0.04998863894569413
102011039,0.065439672801636
102011040,0.34083162917518744
102011041,0.04408089070665758
102011042,0.14633037945921382
102011043,0.19768234492160874
102021044,0.3721881390593047
102021045,0.08543512837991364
102021046,0.09815950920245395
102021047,0.3799136559872756
102021048,0.12906157691433764
102021049,0.026357645989547818
102021050,0.08270847534651213
102021051,0.04817087025675982
102021052,0.08179959100204492
102021053,0.08089070665757782
102021054,0.0540786184957964
102021055,0.11633719609179732
102021056,0.4526244035446489
102021057,0.0
103011059,0.19086571233810493
103011060,0.0645307884571688
103011061,0.04453533287889115
103011612,0.04862531242899339
103011613,0.321745057941377
103021062,0.09634174051351964
103021063,0.041354237673256064
103021064,0.06952965235173819
103021065,0.12906157691433764
103021066,0.021813224267211953
103021067,0.06816632583503748
103021068,0.0427175641899568
103021069,0.14723926380368096
103031070,0.05725971370143148
103031071,0.0536241763235628
103031072,0.2440354464894342
103031073,0.0
103031074,0.13224267211997273
103041076,0.11042944785276072
103041077,0.2499431947284708
103041078,0.6071347421040673
103041079,0.10452169961372414
104011080,0.10134060440808906
104011081,0.1081572369915928
104011082,0.12451715519200178
104021083,0.12542603953646897
104021084,0.08997955010224948
104021085,0.052715291979095635
104021086,0.06362190411270159
104021087,0.01817768688934333
104021088,0.0890706657577823
104021089,0.29038854805725967
104021090,0.03999091115655529
104021091,0.2331288343558282
105011092,0.027720972506248578
105011093,0.0645307884571688
105011094,0.0
105011095,0.065439672801636
105011096,0.0
105021097,0.09406952965235173
105021098,0.0
105031099,0.037718700295387396
105031100,0.2113156100886162
